Date,Building,KWH
2023-01-01,Cafeteria,245
2023-01-02,Cafeteria,395
2023-01-03,Cafeteria,249
2023-01-04,Cafeteria,469
2023-01-05,Cafeteria,315
2023-01-06,Cafeteria,156
2023-01-07,Cafeteria,416
2023-01-08,Cafeteria,324
2023-01-09,Cafeteria,107
2023-01-10,Cafeteria,252
2023-01-11,Cafeteria,297
2023-01-12,Cafeteria,347
2023-01-13,Cafeteria,250
2023-01-14,Cafeteria,277
2023-01-15,Cafeteria,305
2023-01-16,Cafeteria,231
2023-01-17,Cafeteria,443
2023-01-18,Cafeteria,489
2023-01-19,Cafeteria,303
2023-01-20,Cafeteria,467
2023-01-21,Cafeteria,292
2023-01-22,Cafeteria,452
2023-01-23,Cafeteria,499
2023-01-24,Cafeteria,310
2023-01-25,Cafeteria,446
2023-01-26,Cafeteria,312
2023-01-27,Cafeteria,417
2023-01-28,Cafeteria,386
2023-01-29,Cafeteria,417
2023-01-30,Cafeteria,395
2023-01-31,Cafeteria,155
2023-02-01,Cafeteria,466
2023-02-02,Cafeteria,133
2023-02-03,Cafeteria,462
2023-02-04,Cafeteria,255
2023-02-05,Cafeteria,237
2023-02-06,Cafeteria,489
2023-02-07,Cafeteria,398
2023-02-08,Cafeteria,284
2023-02-09,Cafeteria,120
2023-02-10,Cafeteria,193
2023-02-11,Cafeteria,488
2023-02-12,Cafeteria,158
2023-02-13,Cafeteria,447
2023-02-14,Cafeteria,438
2023-02-15,Cafeteria,439
2023-02-16,Cafeteria,288
2023-02-17,Cafeteria,141
2023-02-18,Cafeteria,288
2023-02-19,Cafeteria,219
2023-02-20,Cafeteria,425
2023-02-21,Cafeteria,265
2023-02-22,Cafeteria,371
2023-02-23,Cafeteria,218
2023-02-24,Cafeteria,291
2023-02-25,Cafeteria,341
2023-02-26,Cafeteria,323
2023-02-27,Cafeteria,139
2023-02-28,Cafeteria,288
2023-03-01,Cafeteria,212
2023-03-02,Cafeteria,356
2023-03-03,Cafeteria,359
2023-03-04,Cafeteria,139
2023-03-05,Cafeteria,302
2023-03-06,Cafeteria,375
2023-03-07,Cafeteria,187
2023-03-08,Cafeteria,303
2023-03-09,Cafeteria,306
2023-03-10,Cafeteria,460
2023-03-11,Cafeteria,404
2023-03-12,Cafeteria,228
2023-03-13,Cafeteria,265
2023-03-14,Cafeteria,452
2023-03-15,Cafeteria,352
2023-03-16,Cafeteria,208
2023-03-17,Cafeteria,175
2023-03-18,Cafeteria,166
2023-03-19,Cafeteria,256
2023-03-20,Cafeteria,254
2023-03-21,Cafeteria,297
2023-03-22,Cafeteria,191
2023-03-23,Cafeteria,439
2023-03-24,Cafeteria,110
2023-03-25,Cafeteria,291
2023-03-26,Cafeteria,308
2023-03-27,Cafeteria,464
2023-03-28,Cafeteria,188
2023-03-29,Cafeteria,449
2023-03-30,Cafeteria,482
2023-03-31,Cafeteria,155
2023-04-01,Cafeteria,327
2023-04-02,Cafeteria,318
2023-04-03,Cafeteria,154
2023-04-04,Cafeteria,357
2023-04-05,Cafeteria,137
2023-04-06,Cafeteria,233
2023-04-07,Cafeteria,230
2023-04-08,Cafeteria,391
2023-04-09,Cafeteria,325
2023-04-10,Cafeteria,228
2023-04-11,Cafeteria,493
2023-04-12,Cafeteria,218
2023-04-13,Cafeteria,480
2023-04-14,Cafeteria,260
2023-04-15,Cafeteria,470
2023-04-16,Cafeteria,145
2023-04-17,Cafeteria,431
2023-04-18,Cafeteria,172
2023-04-19,Cafeteria,239
2023-04-20,Cafeteria,341
2023-04-21,Cafeteria,283
2023-04-22,Cafeteria,340
2023-04-23,Cafeteria,332
2023-04-24,Cafeteria,174
2023-04-25,Cafeteria,480
2023-04-26,Cafeteria,322
2023-04-27,Cafeteria,382
2023-04-28,Cafeteria,357
2023-04-29,Cafeteria,393
2023-04-30,Cafeteria,337
2023-05-01,Cafeteria,430
2023-05-02,Cafeteria,369
2023-05-03,Cafeteria,160
2023-05-04,Cafeteria,339
2023-05-05,Cafeteria,365
2023-05-06,Cafeteria,309
2023-05-07,Cafeteria,269
2023-05-08,Cafeteria,262
2023-05-09,Cafeteria,216
2023-05-10,Cafeteria,120
2023-05-11,Cafeteria,384
2023-05-12,Cafeteria,441
2023-05-13,Cafeteria,431
2023-05-14,Cafeteria,377
2023-05-15,Cafeteria,340
2023-05-16,Cafeteria,201
2023-05-17,Cafeteria,132
2023-05-18,Cafeteria,305
2023-05-19,Cafeteria,129
2023-05-20,Cafeteria,147
2023-05-21,Cafeteria,304
2023-05-22,Cafeteria,149
2023-05-23,Cafeteria,251
2023-05-24,Cafeteria,157
2023-05-25,Cafeteria,367
2023-05-26,Cafeteria,359
2023-05-27,Cafeteria,144
2023-05-28,Cafeteria,302
2023-05-29,Cafeteria,408
2023-05-30,Cafeteria,332
2023-05-31,Cafeteria,104
2023-06-01,Cafeteria,382
2023-06-02,Cafeteria,411
2023-06-03,Cafeteria,496
2023-06-04,Cafeteria,291
2023-06-05,Cafeteria,150
2023-06-06,Cafeteria,162
2023-06-07,Cafeteria,246
2023-06-08,Cafeteria,444
2023-06-09,Cafeteria,441
2023-06-10,Cafeteria,275
2023-06-11,Cafeteria,380
2023-06-12,Cafeteria,481
2023-06-13,Cafeteria,343
2023-06-14,Cafeteria,497
2023-06-15,Cafeteria,417
2023-06-16,Cafeteria,334
2023-06-17,Cafeteria,114
2023-06-18,Cafeteria,483
2023-06-19,Cafeteria,123
