Date,Building,KWH
2023-01-01,Library,298
2023-01-02,Library,381
2023-01-03,Library,237
2023-01-04,Library,380
2023-01-05,Library,172
2023-01-06,Library,298
2023-01-07,Library,378
2023-01-08,Library,454
2023-01-09,Library,282
2023-01-10,Library,322
2023-01-11,Library,208
2023-01-12,Library,232
2023-01-13,Library,380
2023-01-14,Library,432
2023-01-15,Library,206
2023-01-16,Library,446
2023-01-17,Library,300
2023-01-18,Library,219
2023-01-19,Library,260
2023-01-20,Library,245
2023-01-21,Library,217
2023-01-22,Library,136
2023-01-23,Library,119
2023-01-24,Library,379
2023-01-25,Library,371
2023-01-26,Library,180
2023-01-27,Library,262
2023-01-28,Library,302
2023-01-29,Library,196
2023-01-30,Library,113
2023-01-31,Library,183
2023-02-01,Library,134
2023-02-02,Library,241
2023-02-03,Library,321
2023-02-04,Library,344
2023-02-05,Library,430
2023-02-06,Library,107
2023-02-07,Library,460
2023-02-08,Library,393
2023-02-09,Library,345
2023-02-10,Library,277
2023-02-11,Library,359
2023-02-12,Library,422
2023-02-13,Library,437
2023-02-14,Library,144
2023-02-15,Library,477
2023-02-16,Library,153
2023-02-17,Library,289
2023-02-18,Library,186
2023-02-19,Library,184
2023-02-20,Library,242
2023-02-21,Library,300
2023-02-22,Library,447
2023-02-23,Library,211
2023-02-24,Library,291
2023-02-25,Library,125
2023-02-26,Library,109
2023-02-27,Library,463
2023-02-28,Library,244
2023-03-01,Library,106
2023-03-02,Library,438
2023-03-03,Library,138
2023-03-04,Library,476
2023-03-05,Library,372
2023-03-06,Library,332
2023-03-07,Library,195
2023-03-08,Library,322
2023-03-09,Library,204
2023-03-10,Library,339
2023-03-11,Library,257
2023-03-12,Library,267
2023-03-13,Library,470
2023-03-14,Library,483
2023-03-15,Library,392
2023-03-16,Library,268
2023-03-17,Library,343
2023-03-18,Library,127
2023-03-19,Library,422
2023-03-20,Library,413
2023-03-21,Library,322
2023-03-22,Library,227
2023-03-23,Library,192
2023-03-24,Library,102
2023-03-25,Library,395
2023-03-26,Library,190
2023-03-27,Library,255
2023-03-28,Library,433
2023-03-29,Library,289
2023-03-30,Library,444
2023-03-31,Library,408
2023-04-01,Library,491
2023-04-02,Library,273
2023-04-03,Library,211
2023-04-04,Library,311
2023-04-05,Library,472
2023-04-06,Library,403
2023-04-07,Library,428
2023-04-08,Library,428
2023-04-09,Library,352
2023-04-10,Library,435
2023-04-11,Library,227
2023-04-12,Library,111
2023-04-13,Library,186
2023-04-14,Library,244
2023-04-15,Library,146
2023-04-16,Library,176
2023-04-17,Library,455
2023-04-18,Library,114
2023-04-19,Library,372
2023-04-20,Library,161
2023-04-21,Library,406
2023-04-22,Library,426
2023-04-23,Library,212
2023-04-24,Library,367
2023-04-25,Library,266
2023-04-26,Library,492
2023-04-27,Library,225
2023-04-28,Library,108
2023-04-29,Library,248
2023-04-30,Library,459
2023-05-01,Library,427
2023-05-02,Library,160
2023-05-03,Library,352
2023-05-04,Library,412
2023-05-05,Library,262
2023-05-06,Library,480
2023-05-07,Library,467
2023-05-08,Library,382
2023-05-09,Library,171
2023-05-10,Library,100
2023-05-11,Library,102
2023-05-12,Library,106
2023-05-13,Library,356
2023-05-14,Library,488
2023-05-15,Library,327
2023-05-16,Library,426
2023-05-17,Library,423
2023-05-18,Library,264
2023-05-19,Library,299
2023-05-20,Library,426
2023-05-21,Library,239
2023-05-22,Library,157
2023-05-23,Library,357
2023-05-24,Library,129
2023-05-25,Library,410
2023-05-26,Library,451
2023-05-27,Library,285
2023-05-28,Library,333
2023-05-29,Library,451
2023-05-30,Library,450
2023-05-31,Library,270
2023-06-01,Library,430
2023-06-02,Library,122
2023-06-03,Library,197
2023-06-04,Library,389
2023-06-05,Library,120
2023-06-06,Library,430
2023-06-07,Library,448
2023-06-08,Library,338
2023-06-09,Library,343
2023-06-10,Library,316
2023-06-11,Library,197
2023-06-12,Library,437
2023-06-13,Library,244
2023-06-14,Library,400
2023-06-15,Library,441
2023-06-16,Library,350
2023-06-17,Library,151
2023-06-18,Library,129
2023-06-19,Library,189
2023-06-20,Library,373
2023-06-21,Library,491
2023-06-22,Library,319
2023-06-23,Library,298
2023-06-24,Library,365
2023-06-25,Library,199
2023-06-26,Library,430
2023-06-27,Library,493
2023-06-28,Library,198
2023-06-29,Library,429
2023-06-30,Library,251
2023-07-01,Library,192
2023-07-02,Library,277
2023-07-03,Library,353
2023-07-04,Library,274
2023-07-05,Library,107
2023-07-06,Library,464
2023-07-07,Library,199
2023-07-08,Library,252
2023-07-09,Library,317
2023-07-10,Library,289
2023-07-11,Library,137
2023-07-12,Library,347
2023-07-13,Library,285
2023-07-14,Library,273
2023-07-15,Library,338
2023-07-16,Library,270
2023-07-17,Library,484
2023-07-18,Library,229
2023-07-19,Library,279
2023-07-20,Library,420
2023-07-21,Library,260
2023-07-22,Library,467
2023-07-23,Library,412
2023-07-24,Library,172
2023-07-25,Library,471
2023-07-26,Library,225
2023-07-27,Library,109
2023-07-28,Library,234
2023-07-29,Library,326
2023-07-30,Library,175
2023-07-31,Library,313
2023-08-01,Library,377
2023-08-02,Library,168
2023-08-03,Library,322
2023-08-04,Library,197
2023-08-05,Library,461
2023-08-06,Library,124
2023-08-07,Library,195
2023-08-08,Library,211
2023-08-09,Library,466
2023-08-10,Library,347
2023-08-11,Library,244
2023-08-12,Library,364
2023-08-13,Library,154
2023-08-14,Library,180
2023-08-15,Library,394
2023-08-16,Library,342
2023-08-17,Library,464
2023-08-18,Library,248
2023-08-19,Library,379
2023-08-20,Library,256
2023-08-21,Library,444
2023-08-22,Library,277
