Date,Building,KWH,Month,DayOfWeek
2023-01-01,Dormitory,285,1,6
2023-01-02,Dormitory,427,1,0
2023-01-03,Dormitory,365,1,1
2023-01-04,Dormitory,456,1,2
2023-01-05,Dormitory,122,1,3
2023-01-06,Dormitory,129,1,4
2023-01-07,Dormitory,116,1,5
2023-01-08,Dormitory,158,1,6
2023-01-09,Dormitory,244,1,0
2023-01-10,Dormitory,288,1,1
2023-01-11,Dormitory,122,1,2
2023-01-12,Dormitory,426,1,3
2023-01-13,Dormitory,457,1,4
2023-01-14,Dormitory,277,1,5
2023-01-15,Dormitory,491,1,6
2023-01-16,Dormitory,138,1,0
2023-01-17,Dormitory,120,1,1
2023-01-18,Dormitory,216,1,2
2023-01-19,Dormitory,325,1,3
2023-01-20,Dormitory,194,1,4
2023-01-21,Dormitory,296,1,5
2023-01-22,Dormitory,337,1,6
2023-01-23,Dormitory,167,1,0
2023-01-24,Dormitory,247,1,1
2023-01-25,Dormitory,236,1,2
2023-01-26,Dormitory,470,1,3
2023-01-27,Dormitory,321,1,4
2023-01-28,Dormitory,408,1,5
2023-01-29,Dormitory,413,1,6
2023-01-30,Dormitory,317,1,0
2023-01-31,Dormitory,404,1,1
2023-02-01,Dormitory,466,2,2
2023-02-02,Dormitory,438,2,3
2023-02-03,Dormitory,402,2,4
2023-02-04,Dormitory,215,2,5
2023-02-05,Dormitory,350,2,6
2023-02-06,Dormitory,264,2,0
2023-02-07,Dormitory,477,2,1
2023-02-08,Dormitory,242,2,2
2023-02-09,Dormitory,310,2,3
2023-02-10,Dormitory,358,2,4
2023-02-11,Dormitory,152,2,5
2023-02-12,Dormitory,125,2,6
2023-02-13,Dormitory,443,2,0
2023-02-14,Dormitory,271,2,1
2023-02-15,Dormitory,330,2,2
2023-02-16,Dormitory,353,2,3
2023-02-17,Dormitory,359,2,4
2023-02-18,Dormitory,374,2,5
2023-02-19,Dormitory,211,2,6
2023-02-20,Dormitory,162,2,0
2023-02-21,Dormitory,499,2,1
2023-02-22,Dormitory,177,2,2
2023-02-23,Dormitory,488,2,3
2023-02-24,Dormitory,342,2,4
2023-02-25,Dormitory,378,2,5
2023-02-26,Dormitory,202,2,6
2023-02-27,Dormitory,279,2,0
2023-02-28,Dormitory,248,2,1
2023-03-01,Dormitory,452,3,2
2023-03-02,Dormitory,310,3,3
2023-03-03,Dormitory,210,3,4
2023-03-04,Dormitory,153,3,5
2023-03-05,Dormitory,226,3,6
2023-03-06,Dormitory,401,3,0
2023-03-07,Dormitory,155,3,1
2023-03-08,Dormitory,278,3,2
2023-03-09,Dormitory,277,3,3
2023-03-10,Dormitory,292,3,4
2023-03-11,Dormitory,249,3,5
2023-03-12,Dormitory,249,3,6
2023-03-13,Dormitory,377,3,0
2023-03-14,Dormitory,178,3,1
2023-03-15,Dormitory,234,3,2
2023-03-16,Dormitory,162,3,3
2023-03-17,Dormitory,494,3,4
2023-03-18,Dormitory,333,3,5
2023-03-19,Dormitory,382,3,6
2023-03-20,Dormitory,300,3,0
2023-03-21,Dormitory,179,3,1
2023-03-22,Dormitory,421,3,2
2023-03-23,Dormitory,271,3,3
2023-03-24,Dormitory,387,3,4
2023-03-25,Dormitory,163,3,5
2023-03-26,Dormitory,125,3,6
2023-03-27,Dormitory,156,3,0
2023-03-28,Dormitory,278,3,1
2023-03-29,Dormitory,473,3,2
2023-03-30,Dormitory,306,3,3
2023-03-31,Dormitory,428,3,4
2023-04-01,Dormitory,119,4,5
2023-04-02,Dormitory,243,4,6
2023-04-03,Dormitory,460,4,0
2023-04-04,Dormitory,181,4,1
2023-04-05,Dormitory,112,4,2
2023-04-06,Dormitory,422,4,3
2023-04-07,Dormitory,274,4,4
2023-04-08,Dormitory,473,4,5
